frac,val
0.01,76.624405
0.01,80.35748
0.01,73.74778
0.01,76.852585
0.01,75.52859
0.1,36.285282
0.1,35.484055
0.1,35.98493
0.1,37.61678
0.1,36.48465
0.2,34.84884
0.2,34.635086
0.2,34.589832
0.2,35.991165
0.2,36.078953
0.3,33.88984
0.3,35.012756
0.3,34.157173
0.3,33.51203
0.3,34.171803
0.4,33.279694
0.4,33.486202
0.4,33.803474
0.4,33.684166
0.4,33.465145
0.5,33.173466
0.5,32.56145
0.5,32.854725
0.5,33.20755
0.5,33.230797
1.0,32.752777
1.0,32.15924
1.0,32.51996
1.0,32.3722
1.0,32.226437
0.05,36.687878
0.05,35.99784
0.05,36.82844
0.05,38.528183
0.05,36.30123
